ISBN;DOI
9,78996E+12;102307jctv1b7422228
;1037423200501001
9,78303E+12;101007978-3-030-70179-6_54
9,78939E+12;1026524royal371
9,78939E+12;1026524royal3714
9,78939E+12;1026524royal3730
9,78939E+12;1026524royal3724
;1011610cybsec02bg
;1011610cybsec02
;105772intechopen96815
;105772intechopen96900
;1031752idea202020
;107249rra248-6
;107249rra248-7
9,78656E+12;1022533ated43121290310
9,78656E+12;1022533ated4312129037
9,78177E+12;102307jctv1h45mcj24
9,78177E+12;102307jctv1h45mcj48
9,78177E+12;102307jctv1h45mcj26
9,78177E+12;102307jctv1h45mcj36
9,78013E+12;101016b978-0-12-824536-100022-8
9,78013E+12;101016b978-0-12-824536-100021-6
9,78013E+12;101016b978-0-12-824536-100036-8
9,78013E+12;101016b978-0-12-824536-100030-7
9,78013E+12;101016b978-0-12-824536-100027-7
9,78013E+12;101016b978-0-12-824536-100011-3
9,78013E+12;101016b978-0-12-824536-100029-0
9,78153E+12;102307jctv18gfz7c22
9,78153E+12;102307jctv18gfz7c17
9,78184E+12;1051432978-1-8381524-7-5_3
9,78184E+12;1051432978-1-8381524-7-5_1
9,78145E+12;101332policypress97814473550760030008
9,78184E+12;1051432978-1-8381524-8-2_4
9,78184E+12;1051432978-1-8381524-8-2_7
9,78887E+12;1030687978-88-6969-442-4012
9,78887E+12;1030687978-88-6969-442-4023
9,78887E+12;1030687978-88-6969-442-4027
9,78887E+12;1030687978-88-6969-442-4008
9,78887E+12;1030687978-88-6969-442-4017
9,78887E+12;1030687978-88-6969-442-4028
9,781E+12;1043249781003154037-4
;105772intechopen96283
;105772intechopen96251
9,78656E+12;1048021978-65-5956-026-4c1
9,78311E+12;1015159783110713350-006
9,78153E+12;102307jctv18gfz7c15
9,78153E+12;102307jctv18gfz7c14
9,78153E+12;102307jctv18gfz7c20
9,78153E+12;102307jctv18gfz7c23
9,78153E+12;102307jctv18gfz7c11
9,78153E+12;102307jctv18gfz7c8
9,78153E+12;102307jctv18gfz7c18
9,78996E+12;102307jctv1b742224
9,78996E+12;102307jctv1b7422212
9,78996E+12;102307jctv1b7422210
9,78981E+12;1011429789811229381_0012
9,78656E+12;1097719786556300757017
9,78656E+12;10747697865570802900021
9,78656E+12;10747697865570802900007
9,78656E+12;10747697865570802900015
9,78656E+12;10747697865570802900008
9,78659E+12;1018616intcov27
9,78168E+12;1021749781681087788121010008
9,78168E+12;1021749781681087788121010011
9,78168E+12;1021749781681087788121010013
9,78168E+12;1021749781681087788121010016
9,78659E+12;1019141covid19-978-65-86848-71-80
9,78656E+12;1022533ated4332028101
9,78659E+12;1018616intcov36
9,78659E+12;1018616intcov15
9,78659E+12;1018616intcov24
9,78841E+12;1047919fmgaoc200022
9,78659E+12;1018616intcov22
9,78659E+12;1018616intcov31
9,78659E+12;1018616intcov46
9,78659E+12;1018616intcov56
9,78659E+12;1018616intcov64
9,78659E+12;1018616intcov65
9,78659E+12;1018616intcov16
9,78659E+12;1018616intcov23
9,78659E+12;1018616intcov33
9,78145E+12;102307jctv18b5d3b13
9,78841E+12;102307jctv1gd0vg54
9,78841E+12;102307jctv1gd0vg55
9,78994E+12;1047463clder202001009
9,78303E+12;101007978-3-030-65355-2_2
9,78659E+12;10365929786587424538-11
9,78145E+12;102307jctv15d81tx18
9,781E+12;1012019781003098881-9
9,781E+12;1012019781003098881-2
9,781E+12;1012019781003098881-10
9,78841E+12;1047919fmgaoc200001
9,78841E+12;1047919fmgaoc200024
9,78659E+12;1029388978-65-86678-07-9-0-f83-96
9,78659E+12;1029388978-65-86678-07-9-0-f175-188
9,78659E+12;1029388978-65-86678-07-9-0-f53-64
9,78659E+12;10365929786587424149-23
9,78659E+12;10365929786587424149-19
9,78659E+12;10365929786587424149-25
9,78659E+12;10365929786587424149-2
9,78659E+12;10365929786587424149-7
9,78145E+12;102307jctv1850gc49
9,78145E+12;102307jctv1850gc47
9,78145E+12;102307jctv1850gc410
9,78145E+12;102307jctv1850gc413
9,78145E+12;102307jctv1850gc424
9,78145E+12;102307jctv1850gc45
9,78145E+12;102307jctv1850gc411
9,78145E+12;102307jctv1850gc416
9,78145E+12;102307jctv1850gc48
9,78145E+12;102307jctv1850gc415
9,78145E+12;102307jctv1850gc419
9,78145E+12;102307jctv1850gc417
9,78145E+12;102307jctv1850gc418
9,78145E+12;102307jctv1850gc422
9,78145E+12;102307jctv1850gc414
9,78145E+12;102307jctv1850gc423
